"Discount name","Discount method","Discount type","Discount class","Applied discounts","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"Member used a promo code online . Member ordered brainstorm and it was sold out . Member was called to change product to Superberry crush and lost his promo of R504. The code was CNTJLP5F.","manual","fixed_amount",,-504,1,660.87,0,222.61,0,33.39,256
"C3IFF4HI","discount_code","fixed_amount","order",-200,1,395.65,0,221.74,0,33.26,255
"MURYH6JV","discount_code","fixed_amount","order",-831,1,930.44,0,207.83,0,31.17,239
"D0FYGQQ2","discount_code","percentage","order",-25,1,217.38,0,195.65,0,29.35,225
"DSUTQUJV","discount_code","fixed_amount","order",-100,1,269.56,0,182.61,0,27.39,210
"UPL3G4X9","discount_code","fixed_amount","order",-100,1,260.86,0,173.91,0,26.09,200
"WD7MS3MH","discount_code","fixed_amount","order",-100,1,300,0,200,0,0,200
"JCAKM07A","discount_code","fixed_amount","order",-200,1,330.43,0,156.52,0,23.48,180
"B9GCJQ0J","discount_code","fixed_amount","order",-200,1,330.43,0,156.52,0,23.48,180
"4F7JBIOJ","discount_code","fixed_amount","order",-200,1,330.43,0,156.52,0,23.48,180
"U11SESDF","discount_code","fixed_amount","order",-1000,1,1023.44,0,153.91,0,23.09,177
"4WMPAIJS","discount_code","fixed_amount","order",-200,1,326.07,0,152.17,0,22.83,175
"HPV4XRX8","discount_code","fixed_amount","order",-500,1,670,0,170,0,0,170
"OPE4FJRN","discount_code","fixed_amount","order",-230,1,347.82,0,147.83,0,22.17,170
"3ZM71UIJ","discount_code","fixed_amount","order",-100,1,230.42,0,143.48,0,21.52,165
"Happy hour","manual","percentage",,-38,1,165.21,0,132.17,0,19.83,152
"CJEZJMM4","discount_code","fixed_amount","order",-100,1,217.38,0,130.43,0,19.57,150
"ZBG4BZQS","discount_code","fixed_amount","order",-200,1,304.33,0,130.43,0,19.57,150
"PPGHHEU6","discount_code","fixed_amount","order",-20,1,147.81,0,130.43,0,19.57,150
"LNILRD6H","discount_code","fixed_amount","order",-100,1,217.38,0,130.43,0,19.57,150
"OQBTXGAP","discount_code","fixed_amount","order",-100,1,208.69,0,121.74,0,18.26,140
"HN6TUGXD","discount_code","fixed_amount","order",-65,1,165.22,0,108.7,0,16.3,125
"VVCUKXT6","discount_code","fixed_amount","order",-500,1,539.13,0,104.35,0,15.65,120
"KIXEQKW3","discount_code","fixed_amount","order",-200,1,320,0,120,0,0,120
"VAIUX5YM","discount_code","fixed_amount","order",-100,1,215,0,115,0,0,115
"VHRTE9YK","discount_code","fixed_amount","order",-200,1,269.55,0,95.65,0,14.35,110
"XR8YBKM4","discount_code","fixed_amount","order",-100,1,182.59,0,95.65,0,14.35,110
"8SHY6QJP","discount_code","fixed_amount","order",-200,1,269.55,0,95.65,0,14.35,110
"WOS8K13H","discount_code","fixed_amount","order",-500,1,521.76,0,86.96,0,13.04,100
"LBTEXJWP","discount_code","fixed_amount","order",-200,1,260.88,0,86.96,0,13.04,100
